 3.09461585e-04  3.09461585e-04  3.09461585e-04  1.29726619e+02  3.09461585e-04  9.80000000e-01  3.09461585e-04 -5.12078758e+02 
 3.19461585e-04  3.19461585e-04  3.19461585e-04  1.29726619e+02  3.19461585e-04  9.80000000e-01  3.19461585e-04 -5.12078758e+02 
 3.29461585e-04  3.29461585e-04  3.29461585e-04  1.29726619e+02  3.29461585e-04  9.80000000e-01  3.29461585e-04 -5.12078758e+02 
 3.39461585e-04  3.39461585e-04  3.39461585e-04  1.29726619e+02  3.39461585e-04  9.80000000e-01  3.39461585e-04 -5.12078758e+02 
 3.49461585e-04  3.49461585e-04  3.49461585e-04  1.29726619e+02  3.49461585e-04  9.80000000e-01  3.49461585e-04 -5.12078758e+02 
 3.59461585e-04  3.59461585e-04  3.59461585e-04  1.29726619e+02  3.59461585e-04  9.80000000e-01  3.59461585e-04 -5.12078758e+02 
 3.69461585e-04  3.69461585e-04  3.69461585e-04  1.29726619e+02  3.69461585e-04  9.80000000e-01  3.69461585e-04 -5.12078758e+02 
 3.79461585e-04  3.79461585e-04  3.79461585e-04  1.23530428e+02  3.79461585e-04  9.24341812e-01  3.79461585e-04 -4.87620110e+02 
 3.89461585e-04  3.89461585e-04  3.89461585e-04  1.16098848e+02  3.89461585e-04  8.58963288e-01  3.89461585e-04 -4.58284928e+02 
 3.99461585e-04  3.99461585e-04  3.99461585e-04  1.08160166e+02  3.99461585e-04  7.90728792e-01  3.99461585e-04 -4.26948025e+02 
 4.09461585e-04  4.09461585e-04  4.09461585e-04  9.97307705e+01  4.09461585e-04  7.20027813e-01  4.09461585e-04 -3.93674094e+02 
 4.19461585e-04  4.19461585e-04  4.19461585e-04  9.08294487e+01  4.19461585e-04  6.47254573e-01  4.19461585e-04 -3.58537297e+02 
 4.29461585e-04  4.29461585e-04  4.29461585e-04  8.14776251e+01  4.29461585e-04  5.72805056e-01  4.29461585e-04 -3.21622204e+02 
 4.39461585e-04  4.39461585e-04  4.39461585e-04  7.16995370e+01  4.39461585e-04  4.97073736e-01  4.39461585e-04 -2.83024488e+02 
 4.49461585e-04  4.49461585e-04  4.49461585e-04  6.15223706e+01  4.49461585e-04  4.20450310e-01  4.49461585e-04 -2.42851463e+02 
 4.59461585e-04  4.59461585e-04  4.59461585e-04  5.09763592e+01  4.59461585e-04  3.43316569e-01  4.59461585e-04 -2.01222470e+02 
 4.69461585e-04  4.69461585e-04  4.69461585e-04  4.00948405e+01  4.69461585e-04  2.66043499e-01  4.69461585e-04 -1.58269107e+02 
 4.79461585e-04  4.79461585e-04  4.79461585e-04  2.89142719e+01  4.79461585e-04  1.88988648e-01  4.79461585e-04 -1.14135284e+02 
 4.89461585e-04  4.89461585e-04  4.89461585e-04  1.74741977e+01  4.89461585e-04  1.12493822e-01  4.89461585e-04 -6.89770964e+01 
 4.99461585e-04  4.99461585e-04  4.99461585e-04  5.81717261e+00  4.99461585e-04  3.68830939e-02  4.99461585e-04 -2.29625235e+01 
 5.09461585e-04  5.09461585e-04  5.09461585e-04 -5.97027396e+00  5.09461585e-04 -3.78613325e-02  5.09461585e-04  2.35668709e+01 
 5.19461585e-04  5.19461585e-04  5.19461585e-04 -1.76011736e+01  5.19461585e-04 -1.13330205e-01  5.19461585e-04  6.94783167e+01 
 5.29461585e-04  5.29461585e-04  5.29461585e-04 -2.89924035e+01  5.29461585e-04 -1.89519126e-01  5.29461585e-04  1.14443698e+02 
 5.39461585e-04  5.39461585e-04  5.39461585e-04 -4.01028294e+01  5.39461585e-04 -2.66099395e-01  5.39461585e-04  1.58300642e+02 
 5.49461585e-04  5.49461585e-04  5.49461585e-04 -5.08943628e+01  5.49461585e-04 -3.42725628e-01  5.49461585e-04  2.00898800e+02 
 5.59461585e-04  5.59461585e-04  5.59461585e-04 -6.13320071e+01  5.59461585e-04 -4.19037840e-01  5.59461585e-04  2.42100028e+02 
 5.69461585e-04  5.69461585e-04  5.69461585e-04 -7.13838654e+01  5.69461585e-04 -4.94663841e-01  5.69461585e-04  2.81778416e+02 
 5.79461585e-04  5.79461585e-04  5.79461585e-04 -8.10211047e+01  5.79461585e-04 -5.69221943e-01  5.79461585e-04  3.19820150e+02 
 5.89461585e-04  5.89461585e-04  5.89461585e-04 -9.02178802e+01  5.89461585e-04 -6.42323931e-01  5.89461585e-04  3.56123211e+02 
 5.99461585e-04  5.99461585e-04  5.99461585e-04 -9.89512245e+01  5.99461585e-04 -7.13578243e-01  5.99461585e-04  3.90596939e+02 
 6.09461585e-04  6.09461585e-04  6.09461585e-04 -1.07200907e+02  6.09461585e-04 -7.82593325e-01  6.09461585e-04  4.23161475e+02 
 6.19461585e-04  6.19461585e-04  6.19461585e-04 -1.14949268e+02  6.19461585e-04 -8.48981081e-01  6.19461585e-04  4.53747110e+02 
 6.29461585e-04  6.29461585e-04  6.29461585e-04 -1.22181034e+02  6.29461585e-04 -9.12360393e-01  6.29461585e-04  4.82293557e+02 
